index,mean,std
2,521.0969432238554,294.04480672661134
4,489.5234596482792,271.48742310094235
6,537.616557412226,283.41836810076063
8,489.27536247743376,259.8727827437775
10,438.47330000180716,242.34747611404538
12,411.44365072909545,202.50580923230737
14,432.24845283004834,245.57517188767204
16,421.2211105657739,232.92546944493247
18,424.3077417972557,232.58161638915712
20,432.14304762222537,240.7584009068458
22,430.34214726077937,241.6172454206379
24,451.06385015650164,249.98396037433434
26,467.56983693866954,263.12554481517446
28,427.9284173256653,239.06855967997677
30,425.57134078202563,236.80866230017838
32,448.9691337136675,240.02907316920917
34,461.1508133054122,240.46639772413099
36,453.7456415916299,241.95627583461612
38,470.71387351408464,272.11670238916736
40,478.1095356932012,261.62080802325505
42,508.96316098523187,276.61774803589134
44,532.6696620732116,288.4510072277168
46,517.6732947548586,283.13500013508747
48,510.85085974966233,287.282512914911
50,545.0561317108036,307.3344811154272
52,517.860953173305,274.7632877964794
54,453.0509991168627,240.0081382054146
56,447.29360399866266,224.51477871391046
58,459.7957184150649,274.34599558623586
60,507.6329155444897,273.9671443810422
62,470.6939949671266,255.2248492736633
64,458.21801699536803,255.2641305485872
66,469.09772170293957,258.09896365584177
68,526.8391845430098,274.0241171259403
70,508.63982419836873,295.13379843387133
72,489.0286730151392,275.2960935246668
74,448.8087257576298,262.1305590542059
76,437.72759744619975,225.42378388653194
78,480.52019593444294,268.9197157531405
80,438.11747677933937,245.17637673507065
82,429.17758443481245,230.63239446037673
84,474.6591169759568,255.10936728345968
86,480.79606377790253,267.85944891940505
88,540.5686140533967,293.68202679916925
90,535.0458515710675,318.8739098746979
92,460.5318849275675,255.7468167547904
94,460.0688226698703,247.75518212994942
96,507.31090268143026,292.5062813397773
98,506.4852038412023,276.1450942335123
100,490.5803607683648,261.4822073550985
